pid,call,time,duration,bytes,fs
55680,stat,12:50:14.063272,5.5e-05,0, 
55680,stat,12:50:14.063457,7.1e-05,0, 
55680,stat,12:50:14.063761,6.4e-05,0, 
55680,stat,12:50:14.063923,3.7e-05,0, 
55680,stat,12:50:14.064059,6.7e-05,0, 
55680,openat,12:50:14.064264,7.4e-05,0, 
55680,fstat,12:50:14.064504,6.8e-05,0, 
55680,getdents64,12:50:14.064738,0.000206,0, 
55680,getdents64,12:50:14.065233,6.2e-05,0, 
55680,close,12:50:14.065451,7.8e-05,0, 
55680,stat,12:50:14.065733,6.1e-05,0, 
55680,stat,12:50:14.065944,7.6e-05,0, 
55680,stat,12:50:14.066174,6.3e-05,0, 
55680,stat,12:50:14.066363,8.9e-05,0, 
55680,stat,12:50:14.066722,8.7e-05,0, 
55680,openat,12:50:14.066996,8.8e-05,0, 
55680,fstat,12:50:14.067225,6.8e-05,0, 
55680,ioctl,12:50:14.067435,7.4e-05,0, 
55680,lseek,12:50:14.067654,8.7e-05,0, 
55680,lseek,12:50:14.067942,7.1e-05,0, 
55680,fstat,12:50:14.068189,9.2e-05,0, 
55680,read,12:50:14.068485,7.9e-05,[<4MB],/opt/conda
55680,read,12:50:14.068708,3.5e-05,[<4KB],/opt/conda
55680,close,12:50:14.068894,7.8e-05,0, 
55680,stat,12:50:14.069996,4.5e-05,0, 
55680,stat,12:50:14.070768,0.000111,0, 
55680,stat,12:50:14.071114,9.1e-05,0, 
55680,openat,12:50:14.071516,8.8e-05,0, 
55680,fstat,12:50:14.071762,7.5e-05,0, 
55680,getdents64,12:50:14.071994,0.00011,0, 
55680,getdents64,12:50:14.072304,6e-05,0, 
55680,close,12:50:14.072483,8.1e-05,0, 
55680,stat,12:50:14.072722,6.3e-05,0, 
55680,stat,12:50:14.073057,7.8e-05,0, 
55680,openat,12:50:14.073335,6.5e-05,0, 
55680,fstat,12:50:14.073544,2.7e-05,0, 
55680,ioctl,12:50:14.073772,6.7e-05,0, 
55680,lseek,12:50:14.073982,3.7e-05,0, 
55680,lseek,12:50:14.074194,5.7e-05,0, 
55680,fstat,12:50:14.074346,5.6e-05,0, 
55680,read,12:50:14.074481,0.000163,[<4MB],/opt/conda
55680,read,12:50:14.074807,0.000104,[<4KB],/opt/conda
55680,close,12:50:14.075080,7.5e-05,0, 
55680,stat,12:50:14.075986,9e-05,0, 
55680,stat,12:50:14.076393,0.000134,0, 
55680,stat,12:50:14.076738,6.7e-05,0, 
55680,openat,12:50:14.077002,0.000171,0, 
55680,fstat,12:50:14.077328,0.00012,0, 
55680,ioctl,12:50:14.077598,0.000101,0, 
55680,lseek,12:50:14.077861,0.000107,0, 
55680,lseek,12:50:14.078118,3.3e-05,0, 
55680,fstat,12:50:14.078203,0.000123,0, 
55680,read,12:50:14.078413,3.4e-05,[<4KB],/opt/conda
55680,read,12:50:14.078545,3.2e-05,[<4KB],/opt/conda
55680,close,12:50:14.078665,3.4e-05,0, 
55680,rt_sigaction,12:50:14.078958,3.2e-05,0, 
55680,rt_sigaction,12:50:14.079045,3e-05,0, 
55680,rt_sigaction,12:50:14.079243,3.3e-05,0, 
55680,rt_sigaction,12:50:14.079335,0.000109,0, 
55680,rt_sigaction,12:50:14.079520,5.7e-05,0, 
55680,rt_sigaction,12:50:14.079666,3.3e-05,0, 
55680,rt_sigaction,12:50:14.079752,3.1e-05,0, 
55680,rt_sigaction,12:50:14.079863,3.3e-05,0, 
55680,rt_sigaction,12:50:14.080018,5.6e-05,0, 
55680,rt_sigaction,12:50:14.080156,3.4e-05,0, 
55680,rt_sigaction,12:50:14.080281,3.3e-05,0, 
55680,rt_sigaction,12:50:14.080393,3.3e-05,0, 
55680,rt_sigaction,12:50:14.080503,3.3e-05,0, 
55680,rt_sigaction,12:50:14.080596,5.1e-05,0, 
55680,rt_sigaction,12:50:14.080700,5.9e-05,0, 
55680,rt_sigaction,12:50:14.080817,5.6e-05,0, 
55680,rt_sigaction,12:50:14.080929,5.4e-05,0, 
55680,rt_sigaction,12:50:14.081057,8.1e-05,0, 
55680,rt_sigaction,12:50:14.081288,8.1e-05,0, 
55680,rt_sigaction,12:50:14.081486,7.8e-05,0, 
55680,rt_sigaction,12:50:14.081664,3.4e-05,0, 
55680,rt_sigaction,12:50:14.081800,3.3e-05,0, 
55680,rt_sigaction,12:50:14.081920,3.3e-05,0, 
55680,rt_sigaction,12:50:14.082034,3.3e-05,0, 
55680,rt_sigaction,12:50:14.082129,3.1e-05,0, 
55680,rt_sigaction,12:50:14.082227,3.2e-05,0, 
55680,rt_sigaction,12:50:14.082336,3.2e-05,0, 
55680,rt_sigaction,12:50:14.082445,3.2e-05,0, 
55680,rt_sigaction,12:50:14.082530,5.6e-05,0, 
55680,rt_sigaction,12:50:14.082648,7.1e-05,0, 
55680,rt_sigaction,12:50:14.082806,5.9e-05,0, 
55680,rt_sigaction,12:50:14.082932,3.2e-05,0, 
55680,rt_sigaction,12:50:14.083008,3.1e-05,0, 
55680,rt_sigaction,12:50:14.083080,3.1e-05,0, 
55680,rt_sigaction,12:50:14.083154,3.1e-05,0, 
55680,rt_sigaction,12:50:14.083227,3e-05,0, 
55680,rt_sigaction,12:50:14.083301,3e-05,0, 
55680,rt_sigaction,12:50:14.083371,3e-05,0, 
55680,rt_sigaction,12:50:14.083441,3e-05,0, 
55680,rt_sigaction,12:50:14.083512,3e-05,0, 
55680,rt_sigaction,12:50:14.083582,3e-05,0, 
55680,rt_sigaction,12:50:14.083652,3e-05,0, 
55680,rt_sigaction,12:50:14.083722,3e-05,0, 
55680,rt_sigaction,12:50:14.083792,3e-05,0, 
55680,rt_sigaction,12:50:14.083862,3e-05,0, 
55680,rt_sigaction,12:50:14.083932,3e-05,0, 
55680,rt_sigaction,12:50:14.084002,3e-05,0, 
55680,rt_sigaction,12:50:14.084072,3e-05,0, 
